song,lyrics
the 1,"I'm doing good, I'm on some new shit"
the 1,"Been saying ""Yes"" instead of ""No"""
the 1,"I thought I saw you at the bus stop, I didn't though"
the 1,I hit the ground running each night
the 1,I hit the Sunday matinee
the 1,You know the greatest films of all time were never made
the 1,"I guess you never know, never know"
the 1,"And if you wanted me, you really should've showed"
the 1,"And if you never bleed, you're never gonna grow"
the 1,And it's alright now
the 1,"But we were something, don't you think so?"
the 1,"Roaring twenties, tossing pennies in the pool"
the 1,And if my wishes came true
the 1,It would've been you
the 1,"In my defense, I have none"
the 1,For never leaving well enough alone
the 1,But it would've been fun
the 1,If you would've been the one
the 1,I have this dream you're doing cool shit
the 1,Having adventures on your own
the 1,You meet some woman on the Internet and take her home
the 1,"We never painted by the numbers, baby"
the 1,But we were making it count
the 1,You know the greatest loves of all time are over now
the 1,"I guess you never know, never know"
the 1,"And it's another day, waking up alone"
the 1,"But we were something, don't you think so?"
the 1,"Roaring twenties, tossing pennies in the pool"
the 1,And if my wishes came true
the 1,It would've been you
the 1,"In my defense, I have none"
the 1,For never leaving well enough alone
the 1,But it would've been fun
the 1,If you would've been the one
the 1,"Hey, yeah-yeah"
the 1,Persist and resist the temptation to ask you
the 1,If one thing had been different
the 1,Would everything be different today?
the 1,"We were something, don't you think so?"
the 1,Rosé flowing with your chosen family
the 1,And it would've been sweet
the 1,If it could've been me
the 1,"In my defense, I have none"
the 1,For digging up the grave another time
the 1,But it would've been fun
the 1,If you would've been the one
cardigan,"Vintage tee, brand new phone"
cardigan,High heels on cobblestones
cardigan,"When you are young, they assume you know nothing"
cardigan,"Sequin smile, black lipstick"
cardigan,Sensual politics
cardigan,"When you are young, they assume you know nothing"
cardigan,But I knew you
cardigan,Dancing in your Levi's
cardigan,"Drunk under a streetlight, I"
cardigan,I knew you
cardigan,Hand under my sweatshirt
cardigan,"Baby kiss it better, right"
cardigan,And when I felt like I was an old cardigan under someone's bed
cardigan,You put me on and said I was your favorite
cardigan,A friend to all is a friend to none
cardigan,"Chase two girls, lose the one"
cardigan,"When you are young, they assume you know nothing"
cardigan,But I knew you
cardigan,Playing hide-and-seek and
cardigan,Giving me your weekends
cardigan,"I, I knew you"
cardigan,Your heartbeat on the High Line
cardigan,"Once in twenty lifetimes, I"
cardigan,And when I felt like I was an old cardigan under someone's bed
cardigan,You put me on and said I was your favorite
cardigan,To kiss in cars and downtown bars
cardigan,Was all we needed
cardigan,You drew stars around my scars
cardigan,But now I'm bleeding
cardigan,'Cause I knew you
cardigan,Stepping on the last train
cardigan,"Marked me like a bloodstain, I"
cardigan,I knew you
cardigan,Tried to change the ending
cardigan,Peter losing Wendy
cardigan,"I, I knew you"
cardigan,Leaving like a father
cardigan,"Running like water, I"
cardigan,"When you are young, they assume you know nothing"
cardigan,But I knew you'd linger like a tattoo kiss
cardigan,I knew you'd haunt all of my what-ifs
cardigan,The smell of smoke would hang around this long
cardigan,'Cause I knew everything when I was young
cardigan,I knew I'd curse you for the longest time
cardigan,Chasing shadows in the grocery line
cardigan,I knew you'd miss me once the thrill expired
cardigan,And you'd be standing in my front porch light
cardigan,And I knew you'd come back to me
cardigan,You'd come back to me
cardigan,And you'd come back to me
cardigan,And you'd come back
cardigan,And when I felt like I was an old cardigan under someone's bed
cardigan,You put me on and said I was your favorite
the last great american dynasty,"Rebekah rode up on the afternoon train, it was sunny"
the last great american dynasty,Her saltbox house on the coast took her mind off St. Louis
the last great american dynasty,"Bill was the heir to the Standard Oil name, and money"
the last great american dynasty,"And the town said ""How did a middle class divorcée do it?"""
the last great american dynasty,"The wedding was charming, if a little gauche"
the last great american dynasty,There's only so far new money goes
the last great american dynasty,"They picked out a home and called it ""Holiday House"""
the last great american dynasty,"Their parties were tasteful, if a little loud"
the last great american dynasty,The doctor had told him to settle down
the last great american dynasty,It must have been her fault his heart gave out
the last great american dynasty,"And they said ""There goes the last great American dynasty"""
the last great american dynasty,"Who knows, if she never showed up what could've been"
the last great american dynasty,There goes the maddest woman this town has ever seen
the last great american dynasty,She had a marvelous time ruining everything
the last great american dynasty,Rebekah gave up on the Rhode Island set forever
the last great american dynasty,Flew in all the Bitch Pack friends from the city
the last great american dynasty,Filled the pool with champagne and swam with the big names
the last great american dynasty,And blew through the money on the boys and the ballet
the last great american dynasty,And losing on card game bets with Dalí
the last great american dynasty,"And they said ""There goes the last great American dynasty"""
the last great american dynasty,"Who knows, if she never showed up, what could've been"
the last great american dynasty,There goes the most shameless woman this town has ever seen
the last great american dynasty,She had a marvelous time ruining everything
the last great american dynasty,They say she was seen on occasion
the last great american dynasty,Pacing the rocks staring out at the midnight sea
the last great american dynasty,And in a feud with her neighbor
the last great american dynasty,She stole his dog and dyed it key lime green
the last great american dynasty,Fifty years is a long time
the last great american dynasty,Holiday House sat quietly on that beach
the last great american dynasty,Free of women with madness
the last great american dynasty,"Their men and bad habits, and then it was bought by me"
the last great american dynasty,"Who knows, if I never showed up what could've been"
the last great american dynasty,There goes the loudest woman this town has ever seen
the last great american dynasty,I had a marvelous time ruining everything
the last great american dynasty,I had a marvelous time
the last great american dynasty,Ruining everything
the last great american dynasty,A marvelous time
the last great american dynasty,Ruining everything
the last great american dynasty,A marvelous time
the last great american dynasty,I had a marvelous time
exile,"I can see you standin', honey"
exile,With his arms around your body
exile,Laughin' but the joke's not funny at all
exile,And it took you five whole minutes
exile,To pack us up and leave me with it
exile,Holdin' all this love out here in the hall
exile,I think I've seen this film before
exile,And I didn't like the ending
exile,You're not my homeland anymore
exile,So what am I defendin' now?
exile,You were my town
exile,Now I'm in exile seein' you out
exile,I think I've seen this film before
exile,"Hoo, hoo-ooh"
exile,"Hoo, hoo-ooh"
exile,"Hoo, hoo-ooh"
exile,"I can see you starin', honey"
exile,Like he's just your understudy
exile,Like you'd get your knuckles bloody for me
exile,"Second, third, and hundredth chances"
exile,Balancin' on breaking branches
exile,Those eyes add insult to injury
exile,I think I've seen this film before
exile,And I didn't like the ending
exile,I'm not your problem anymore
exile,So who am I offending now?
exile,You were my crown
exile,Now I'm in exile seein' you out
exile,I think I've seen this film before
exile,So I'm leavin' out the side door
exile,So step right out
exile,There is no amount
exile,Of cryin' I can do for you
exile,All this time
exile,We always walked a very thin line
exile,You didn't even hear me out (You didn't even hear me out)
exile,You never gave a warning sign (I gave so many signs)
exile,All this time
